Tid	Kanal A	Kanal B
(ms)	(V)	(V)

-95.38352660	4.80315000	-0.89763780
-95.34275860	4.88189000	-0.88976380
-95.30199060	4.88189000	-0.88976380
-95.26122260	4.88189000	-0.88976380
-95.22045461	4.88189000	-0.88976380
-95.17968661	4.88189000	-0.88976380
-95.13891861	4.88189000	-0.88976380
-95.09815061	4.88189000	-0.88976380
-95.05738261	4.88189000	-0.88976380
-95.01661462	4.80315000	-0.88976380
-94.97584662	4.88189000	-0.88976380
-94.93507862	4.88189000	-0.88976380
-94.89431062	4.88189000	-0.89763780
-94.85354262	4.88189000	-0.88976380
-94.81277463	4.88189000	-0.88976380
-94.77200663	4.88189000	-0.88976380
-94.73123863	4.88189000	-0.88976380
-94.69047063	4.88189000	-0.88976380
-94.64970263	4.88189000	-0.88976380
-94.60893463	4.80315000	-0.88976380
-94.56816664	4.80315000	-0.88976380
-94.52739864	4.88189000	-0.88976380
-94.48663064	4.88189000	-0.88976380
-94.44586264	4.88189000	-0.88976380
-94.40509464	4.88189000	-0.88976380
-94.36432665	4.80315000	-0.88976380
-94.32355865	4.88189000	-0.88976380
-94.28279065	4.88189000	-0.88976380
-94.24202265	4.88189000	-0.88976380
-94.20125465	4.88189000	-0.88976380
-94.16048665	4.80315000	-0.88976380
-94.11971866	4.88189000	-0.88976380
-94.07895066	4.88189000	-0.88976380
-94.03818266	4.88189000	-0.89763780
-93.99741466	4.88189000	-0.88976380
-93.95664666	4.88189000	-0.88976380
-93.91587867	4.88189000	-0.88976380
-93.87511067	4.88189000	-0.88976380
-93.83434267	4.88189000	-0.88976380
-93.79357467	4.80315000	-0.88976380
-93.75280667	4.88189000	-0.88976380
-93.71203868	4.88189000	-0.88976380
-93.67127068	4.88189000	-0.88976380
-93.63050268	4.88189000	-0.88976380
-93.58973468	4.88189000	-0.88976380
-93.54896668	4.88189000	-0.89763780
-93.50819868	4.88189000	-0.88976380
-93.46743069	4.80315000	-0.88976380
-93.42666269	4.88189000	-0.88976380
-93.38589469	4.88189000	-0.88188980
-93.34512669	4.88189000	-0.88976380
-93.30435869	4.88189000	-0.88976380
-93.26359070	4.88189000	-0.88976380
-93.22282270	4.88189000	-0.88976380
-93.18205470	4.88189000	-0.88976380
-93.14128670	4.88189000	-0.88976380
-93.10051870	4.88189000	-0.89763780
-93.05975070	4.80315000	-0.88976380
-93.01898271	4.88189000	-0.88976380
-92.97821471	4.88189000	-0.88976380
-92.93744671	4.88189000	-0.88976380
-92.89667871	4.88189000	-0.88976380
-92.85591071	4.88189000	-0.88976380
-92.81514272	4.80315000	-0.88976380
-92.77437472	4.88189000	-0.88976380
-92.73360672	4.88189000	-0.88976380
-92.69283872	4.88189000	-0.88976380
-92.65207072	4.80315000	-0.88976380
-92.61130273	4.88189000	-0.88976380
-92.57053473	4.88189000	-0.88976380
-92.52976673	4.88189000	-0.88976380
-92.48899873	4.88189000	-0.88976380
-92.44823073	4.88189000	-0.88976380
-92.40746273	4.88189000	-0.88976380
-92.36669474	4.88189000	-0.88976380
-92.32592674	4.88189000	-0.88976380
-92.28515874	4.88189000	-0.88976380
-92.24439074	4.88189000	-0.88976380
-92.20362274	4.88189000	-0.88976380
-92.16285475	4.88189000	-0.88976380
-92.12208675	4.88189000	-0.88976380
-92.08131875	4.88189000	-0.88976380
-92.04055075	4.88189000	-0.88976380
-91.99978275	4.88189000	-0.89763780
-91.95901476	4.88189000	-0.89763780
-91.91824676	4.88189000	-0.88976380
-91.87747876	4.88189000	-0.89763780
-91.83671076	4.88189000	-0.88976380
-91.79594276	4.80315000	-0.88976380
-91.75517476	4.88189000	-0.88976380
-91.71440677	4.88189000	-0.88976380
-91.67363877	4.80315000	-0.88976380
-91.63287077	4.80315000	-0.89763780
-91.59210277	4.88189000	-0.88976380
-91.55133477	4.88189000	-0.88976380
-91.51056678	4.80315000	-0.88976380
-91.46979878	4.80315000	-0.89763780
-91.42903078	4.88189000	-0.88976380
-91.38826278	4.88189000	-0.88976380
-91.34749478	4.88189000	-0.88976380
-91.30672678	4.88189000	-0.88976380
-91.26595879	4.88189000	-0.88976380
-91.22519079	4.88189000	-0.88976380
-91.18442279	4.88189000	-0.88976380
-91.14365479	4.88189000	-0.88976380
-91.10288679	4.88189000	-0.88976380
-91.06211880	4.88189000	-0.88976380
-91.02135080	4.80315000	-0.88976380
-90.98058280	4.80315000	-0.88976380
-90.93981480	4.88189000	-0.88976380
-90.89904680	4.88189000	-0.88976380
-90.85827881	4.88189000	-0.88976380
-90.81751081	4.88189000	-0.88976380
-90.77674281	4.88189000	-0.89763780
-90.73597481	4.88189000	-0.88976380
-90.69520681	4.88189000	-0.88976380
-90.65443881	4.80315000	-0.89763780
-90.61367082	4.88189000	-0.88976380
-90.57290282	4.88189000	-0.88976380
-90.53213482	4.80315000	-0.88976380
-90.49136682	4.88189000	-0.89763780
-90.45059882	4.88189000	-0.88976380
-90.40983083	4.88189000	-0.88976380
-90.36906283	4.88189000	-0.88976380
-90.32829483	4.88189000	-0.88976380
-90.28752683	4.88189000	-0.88976380
-90.24675883	4.88189000	-0.88976380
-90.20599083	4.88189000	-0.88976380
-90.16522284	4.88189000	-0.88976380
-90.12445484	4.88189000	-0.88976380
-90.08368684	4.88189000	-0.88976380
-90.04291884	4.88189000	-0.88976380
-90.00215084	4.80315000	-0.88976380
-89.96138285	4.88189000	-0.88976380
-89.92061485	4.88189000	-0.88976380
-89.87984685	4.88189000	-0.89763780
-89.83907885	4.88189000	-0.88976380
-89.79831085	4.88189000	-0.88976380
-89.75754286	4.88189000	-0.89763780
-89.71677486	4.88189000	-0.88976380
-89.67600686	4.88189000	-0.88976380
-89.63523886	4.80315000	-0.89763780
-89.59447086	4.88189000	-0.88976380
-89.55370286	4.88189000	-0.88976380
-89.51293487	4.88189000	-0.88976380
-89.47216687	4.88189000	-0.89763780
-89.43139887	4.88189000	-0.88976380
-89.39063087	4.88189000	-0.88976380
